0,0,-,-,-,init_experiment,round_ms=1000 nodes=25
161,1031,localhost/127.0.0.1:8004,DemoCompositeProtocol,mergeC(mergeC(leader-4 || label-4) || mergeC(tree-4 || count-4)),select,localhost/127.0.0.1:8014
162,1031,localhost/127.0.0.1:8000,TreeLabelNodes,label-0,state,label:1
163,1031,localhost/127.0.0.1:8000,SpanningTree,tree-0,state,root=true dist=0 parent=null children=
164,1032,localhost/127.0.0.1:8000,TreeCountNodes,count-0,state,subtree-size:1   child subtrees: 
165,1040,localhost/127.0.0.1:8004,DemoCompositeProtocol,mergeC(mergeC(leader-4 || label-4) || mergeC(tree-4 || count-4)),merge-update,both
166,1041,localhost/127.0.0.1:8004,MergeCorrelated,mergeC(leader-4 || label-4),merge-update,p1
167,1041,localhost/127.0.0.1:8004,MergeCorrelated,mergeC(tree-4 || count-4),merge-update,p1
168,1042,localhost/127.0.0.1:8014,MinAddressLeaderElection,leader-14,state,localhost/127.0.0.1:8004,
169,1042,localhost/127.0.0.1:8014,TreeLabelNodes,label-14,state,label:1
170,1042,localhost/127.0.0.1:8000,DemoCompositeProtocol,mergeC(mergeC(leader-0 || label-0) || mergeC(tree-0 || count-0)),rate,2.00000
171,1042,localhost/127.0.0.1:8014,SpanningTree,tree-14,state,root=false dist=1 parent=localhost/127.0.0.1:8004 children=
172,1042,localhost/127.0.0.1:8014,TreeCountNodes,count-14,state,subtree-size:1   child subtrees: 
173,1047,localhost/127.0.0.1:8004,MinAddressLeaderElection,leader-4,state,localhost/127.0.0.1:8004,
174,1048,localhost/127.0.0.1:8004,TreeLabelNodes,label-4,state,label:1
175,1048,localhost/127.0.0.1:8004,SpanningTree,tree-4,state,root=true dist=0 parent=null children=
176,1048,localhost/127.0.0.1:8004,TreeCountNodes,count-4,state,subtree-size:1   child subtrees: 
177,1049,localhost/127.0.0.1:8005,DemoCompositeProtocol,mergeC(mergeC(leader-5 || label-5) || mergeC(tree-5 || count-5)),select,localhost/127.0.0.1:8010
178,1054,localhost/127.0.0.1:8003,DemoCompositeProtocol,mergeC(mergeC(leader-3 || label-3) || mergeC(tree-3 || count-3)),select,localhost/127.0.0.1:8011
179,1057,localhost/127.0.0.1:8004,DemoCompositeProtocol,mergeC(mergeC(leader-4 || label-4) || mergeC(tree-4 || count-4)),rate,2.00000
180,1058,localhost/127.0.0.1:8005,DemoCompositeProtocol,mergeC(mergeC(leader-5 || label-5) || mergeC(tree-5 || count-5)),merge-update,both
181,1059,localhost/127.0.0.1:8005,MergeCorrelated,mergeC(leader-5 || label-5),merge-update,p1
182,1061,localhost/127.0.0.1:8005,MergeCorrelated,mergeC(tree-5 || count-5),merge-update,p1
183,1061,localhost/127.0.0.1:8010,MinAddressLeaderElection,leader-10,state,localhost/127.0.0.1:8005,
184,1061,localhost/127.0.0.1:8010,TreeLabelNodes,label-10,state,label:1
185,1061,localhost/127.0.0.1:8010,SpanningTree,tree-10,state,root=false dist=1 parent=localhost/127.0.0.1:8005 children=
186,1061,localhost/127.0.0.1:8003,DemoCompositeProtocol,mergeC(mergeC(leader-3 || label-3) || mergeC(tree-3 || count-3)),merge-update,both
187,1062,localhost/127.0.0.1:8010,TreeCountNodes,count-10,state,subtree-size:1   child subtrees: 
188,1062,localhost/127.0.0.1:8003,MergeCorrelated,mergeC(leader-3 || label-3),merge-update,p1
189,1063,localhost/127.0.0.1:8003,MergeCorrelated,mergeC(tree-3 || count-3),merge-update,p1
190,1063,localhost/127.0.0.1:8011,MinAddressLeaderElection,leader-11,state,localhost/127.0.0.1:8002,
191,1063,localhost/127.0.0.1:8011,TreeLabelNodes,label-11,state,label:1
192,1063,localhost/127.0.0.1:8011,SpanningTree,tree-11,state,root=false dist=1 parent=localhost/127.0.0.1:8002 children=localhost/127.0.0.1:8003|
193,1064,localhost/127.0.0.1:8011,TreeCountNodes,count-11,state,subtree-size:1   child subtrees: localhost/127.0.0.1:8003=1 
194,1066,localhost/127.0.0.1:8005,MinAddressLeaderElection,leader-5,state,localhost/127.0.0.1:8005,
195,1066,localhost/127.0.0.1:8005,TreeLabelNodes,label-5,state,label:1
196,1066,localhost/127.0.0.1:8005,SpanningTree,tree-5,state,root=true dist=0 parent=null children=
197,1066,localhost/127.0.0.1:8005,TreeCountNodes,count-5,state,subtree-size:1   child subtrees: 
198,1068,localhost/127.0.0.1:8003,MinAddressLeaderElection,leader-3,state,localhost/127.0.0.1:8002,
199,1068,localhost/127.0.0.1:8003,TreeLabelNodes,label-3,state,label:1
200,1068,localhost/127.0.0.1:8003,SpanningTree,tree-3,state,root=false dist=2 parent=localhost/127.0.0.1:8011 children=
201,1068,localhost/127.0.0.1:8003,TreeCountNodes,count-3,state,subtree-size:1   child subtrees: 
202,1072,localhost/127.0.0.1:8007,DemoCompositeProtocol,mergeC(mergeC(leader-7 || label-7) || mergeC(tree-7 || count-7)),select,localhost/127.0.0.1:8019
203,1072,localhost/127.0.0.1:8005,DemoCompositeProtocol,mergeC(mergeC(leader-5 || label-5) || mergeC(tree-5 || count-5)),rate,2.00000
204,1074,localhost/127.0.0.1:8003,DemoCompositeProtocol,mergeC(mergeC(leader-3 || label-3) || mergeC(tree-3 || count-3)),rate,2.00000
205,1080,localhost/127.0.0.1:8007,DemoCompositeProtocol,mergeC(mergeC(leader-7 || label-7) || mergeC(tree-7 || count-7)),merge-update,both
206,1081,localhost/127.0.0.1:8007,MergeCorrelated,mergeC(leader-7 || label-7),merge-update,p1
207,1082,localhost/127.0.0.1:8007,MergeCorrelated,mergeC(tree-7 || count-7),merge-update,p1
208,1082,localhost/127.0.0.1:8019,MinAddressLeaderElection,leader-19,state,localhost/127.0.0.1:8007,
209,1082,localhost/127.0.0.1:8019,TreeLabelNodes,label-19,state,label:1
210,1082,localhost/127.0.0.1:8019,SpanningTree,tree-19,state,root=false dist=1 parent=localhost/127.0.0.1:8007 children=
211,1083,localhost/127.0.0.1:8019,TreeCountNodes,count-19,state,subtree-size:1   child subtrees: 
212,1087,localhost/127.0.0.1:8006,DemoCompositeProtocol,mergeC(mergeC(leader-6 || label-6) || mergeC(tree-6 || count-6)),select,localhost/127.0.0.1:8016
213,1094,localhost/127.0.0.1:8007,MinAddressLeaderElection,leader-7,state,localhost/127.0.0.1:8007,
214,1094,localhost/127.0.0.1:8007,TreeLabelNodes,label-7,state,label:1
215,1095,localhost/127.0.0.1:8007,SpanningTree,tree-7,state,root=true dist=0 parent=null children=
216,1095,localhost/127.0.0.1:8007,TreeCountNodes,count-7,state,subtree-size:1   child subtrees: 
217,1099,localhost/127.0.0.1:8006,DemoCompositeProtocol,mergeC(mergeC(leader-6 || label-6) || mergeC(tree-6 || count-6)),merge-update,both
218,1100,localhost/127.0.0.1:8006,MergeCorrelated,mergeC(leader-6 || label-6),merge-update,p1
219,1101,localhost/127.0.0.1:8006,MergeCorrelated,mergeC(tree-6 || count-6),merge-update,p1
220,1101,localhost/127.0.0.1:8016,MinAddressLeaderElection,leader-16,state,localhost/127.0.0.1:8006,
221,1101,localhost/127.0.0.1:8016,TreeLabelNodes,label-16,state,label:1
222,1101,localhost/127.0.0.1:8016,SpanningTree,tree-16,state,root=false dist=1 parent=localhost/127.0.0.1:8006 children=
223,1101,localhost/127.0.0.1:8016,TreeCountNodes,count-16,state,subtree-size:1   child subtrees: 
224,1107,localhost/127.0.0.1:8008,DemoCompositeProtocol,mergeC(mergeC(leader-8 || label-8) || mergeC(tree-8 || count-8)),select,localhost/127.0.0.1:8020
225,1108,localhost/127.0.0.1:8012,DemoCompositeProtocol,mergeC(mergeC(leader-12 || label-12) || mergeC(tree-12 || count-12)),select,localhost/127.0.0.1:8022
226,1109,localhost/127.0.0.1:8009,DemoCompositeProtocol,mergeC(mergeC(leader-9 || label-9) || mergeC(tree-9 || count-9)),select,localhost/127.0.0.1:8003
